Dijkstra(ms),Bellman-Ford(ms)
5741,283
5430,214
4238,178
5476,298
6259,292
4808,196
5720,274
5221,189
4360,243
4059,224
5152,283
5204,278
4422,224
4297,190
5319,206
5094,249
6754,276
6086,593
6186,247
4977,244
5858,307
5690,210
6467,368
5637,202
5574,207
4455,230
4314,220
5634,328
5445,293
5005,267
5650,206
5929,269
5380,236
4458,169
5115,186
6070,304
4786,206
4282,162
5609,196
4623,191
4679,232
5766,213
5868,319
5008,192
4108,176
5459,213
5700,287
4489,190
5742,240
5728,385
4847,180
4626,197
5758,223
5338,298
4697,206
6279,252
5379,261
5354,229
5547,257
5859,210
6449,331
4129,209
6182,288
5518,238
4511,240
4921,280
5620,330
5744,237
5704,222
5289,260
6614,283
4325,219
4283,244
5591,249
5122,198
4435,237
5704,222
6422,324
3908,172
5561,272
5123,287
4539,179
4274,191
4239,238
5126,223
4925,206
4764,197
5810,262
6391,264
4085,173
5270,199
5505,299
5358,257
6925,247
5680,327
4978,246
10034,419
9566,389
7782,399
7510,305
